Symbol,Name
^GSPC,S&P 500
^SPX,S&P 500 Index
^DJI,Dow Jones Industrial Average
^IXIC,NASDAQ Composite
^RUT,Russell 2000
^VIX,CBOE Volatility Index
^VXN,CBOE NASDAQ Volatility Index
^RVX,CBOE Russell 2000 Volatility Index
^NDX,NASDAQ-100
^OEX,S&P 100
^MID,S&P 400 MidCap
^SP400,S&P MidCap 400
^SP600,S&P SmallCap 600
^SP1500,S&P Composite 1500
^NYA,NYSE Composite
^XAX,NYSE American Composite
^NYFANG,NYSE FANG+ Index
^RUA,Russell 3000
^RUI,Russell 1000
^RUT,Russell 2000
^RUMIC,Russell Microcap
^DJT,Dow Jones Transportation Average
^DJU,Dow Jones Utility Average
^DJA,Dow Jones Composite Average
^DJC,Dow Jones Commodity Index
^SOX,PHLX Semiconductor Index
^HGX,PHLX Housing Sector
^BKX,KBW Bank Index
^XBD,AMEX Securities Broker Dealer Index
^DRG,NYSE Arca Pharmaceutical Index
^BTK,NYSE Arca Biotechnology Index
^HUI,NYSE Arca Gold BUGS Index
^XAU,Philadelphia Gold and Silver Index
^OSX,PHLX Oil Service Sector
^UTY,Dow Jones Utility Average
^INSR,NYSE Insurance Index
^IXCO,NASDAQ Computer Index
^IXTC,NASDAQ Telecommunications Index
^IXFN,NASDAQ Financial Index
^IXID,NASDAQ Industrial Index
^IXHC,NASDAQ Healthcare Index
^IXBK,NASDAQ Bank Index
^IXK,NASDAQ Technology Sector
^IXTR,NASDAQ Transportation Index
^IXRE,NASDAQ Real Estate Index
^IXUT,NASDAQ Utilities Index
^IXFN,NASDAQ Financials
^IXCI,NASDAQ Industrials
^IXCO,NASDAQ Computer
^IXBT,NASDAQ Biotechnology
^IXN,NASDAQ Internet
^IXG,Global Financials Index
^IXJ,Global Healthcare Index
^IXP,Global Telecom Index
^IXY,Global Technology Index
^IXE,Global Energy Index
^IXM,Global Materials Index
^DJUSEN,Dow Jones U.S. Energy
^DJUSFN,Dow Jones U.S. Financials
^DJUSHC,Dow Jones U.S. Health Care
^DJUSTC,Dow Jones U.S. Technology
^DJUSUT,Dow Jones U.S. Utilities
^DJUSRE,Dow Jones U.S. Real Estate
